Tag,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Valid GMUs,Date Open,Date Close,Notes,RFW,PLO,NoApps
DE004P4R,Y_R,0 Pref Points,5,8,62.0%,80.0%,D,E,004,P4,R,P4R,0,"4, 441",NA,NA,,No,Yes,NA
DE004P4R,Y_NR,0 Pref Points,4,5,80.0%,62.0%,D,E,004,P4,R,P4R,0,"4, 441",NA,NA,,No,Yes,NA
DE004P4R,L_U,0 Pref Points,5,7,71.0%,71.0%,D,E,004,P4,R,P4R,0,"4, 441",NA,NA,,No,Yes,NA
DE004P4R,L_R,Leftover Choice 1,2,6,33.0%,33.0%,D,E,004,P4,R,P4R,0,"4, 441",NA,NA,,No,Yes,NA
DE004W1R,A_R,15 Pref Points,1,1,100.0%,100.0%,D,E,004,W1,R,W1R,15,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,NA
DE004W1R,A_NR,No Apps,NA,NA,NA,NA,D,E,004,W1,R,W1R,0,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,Yes
DE004W1R,Y_R,None Drawn,NA,NA,NA,NA,D,E,004,W1,R,W1R,0,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,Yes
DE004W1R,Y_NR,No Apps,NA,NA,NA,NA,D,E,004,W1,R,W1R,0,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,Yes
DE004W1R,L_U,N/A,NA,NA,NA,NA,D,E,004,W1,R,W1R,0,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,NA
DE004W1R,L_R,N/A,NA,NA,NA,NA,D,E,004,W1,R,W1R,0,"3, 4, 301",NA,NA,Visintainer Ranch,Yes,No,NA
DE004W2R,A_R,11 Pref Points,1,2,50.0%,50.0%,D,E,004,W2,R,W2R,11,"3, 4",NA,NA,,Yes,No,NA
DE004W2R,A_NR,No Apps,NA,NA,NA,NA,D,E,004,W2,R,W2R,0,"3, 4",NA,NA,,Yes,No,Yes
DE004W2R,Y_R,None Drawn,NA,NA,NA,NA,D,E,004,W2,R,W2R,0,"3, 4",NA,NA,,Yes,No,Yes
DE004W2R,Y_NR,No Apps,NA,NA,NA,NA,D,E,004,W2,R,W2R,0,"3, 4",NA,NA,,Yes,No,Yes
DE004W2R,L_U,N/A,NA,NA,NA,NA,D,E,004,W2,R,W2R,0,"3, 4",NA,NA,,Yes,No,NA
DE004W2R,L_R,N/A,NA,NA,NA,NA,D,E,004,W2,R,W2R,0,"3, 4",NA,NA,,Yes,No,NA
DE004W3R,A_R,11 Pref Points,1,1,100.0%,100.0%,D,E,004,W3,R,W3R,11,"3, 4, 301",NA,NA,,Yes,No,NA
DE004W3R,A_NR,No Apps,NA,NA,NA,NA,D,E,004,W3,R,W3R,0,"3, 4, 301",NA,NA,,Yes,No,Yes
DE004W3R,Y_R,None Drawn,NA,NA,NA,NA,D,E,004,W3,R,W3R,0,"3, 4, 301",NA,NA,,Yes,No,Yes
DE004W3R,Y_NR,No Apps,NA,NA,NA,NA,D,E,004,W3,R,W3R,0,"3, 4, 301",NA,NA,,Yes,No,Yes
DE004W3R,L_U,N/A,NA,NA,NA,NA,D,E,004,W3,R,W3R,0,"3, 4, 301",NA,NA,,Yes,No,NA
DE004W3R,L_R,N/A,NA,NA,NA,NA,D,E,004,W3,R,W3R,0,"3, 4, 301",NA,NA,,Yes,No,NA
DE005P4R,A_R,None Drawn,NA,NA,NA,NA,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,Yes
DE005P4R,A_NR,0 Pref Points,4,10,40.0%,40.0%,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,NA
DE005P4R,Y_R,No Apps,NA,NA,NA,NA,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,Yes
DE005P4R,Y_NR,No Apps,NA,NA,NA,NA,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,Yes
DE005P4R,L_U,0 Pref Points,1,2,50.0%,50.0%,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,NA
DE005P4R,L_R,0 Pref Points,1,2,50.0%,50.0%,D,E,005,P4,R,P4R,0,5,NA,NA,,No,Yes,NA
DE005W2R,A_R,11 Pref Points,1,1,100.0%,100.0%,D,E,005,W2,R,W2R,11,"3, 4, 5",NA,NA,,Yes,No,NA
DE005W2R,A_NR,No Apps,NA,NA,NA,NA,D,E,005,W2,R,W2R,0,"3, 4, 5",NA,NA,,Yes,No,Yes
DE005W2R,Y_R,None Drawn,NA,NA,NA,NA,D,E,005,W2,R,W2R,0,"3, 4, 5",NA,NA,,Yes,No,Yes
DE005W2R,Y_NR,No Apps,NA,NA,NA,NA,D,E,005,W2,R,W2R,0,"3, 4, 5",NA,NA,,Yes,No,Yes
DE005W2R,L_U,N/A,NA,NA,NA,NA,D,E,005,W2,R,W2R,0,"3, 4, 5",NA,NA,,Yes,No,NA
DE005W2R,L_R,N/A,NA,NA,NA,NA,D,E,005,W2,R,W2R,0,"3, 4, 5",NA,NA,,Yes,No,NA
DE006O1A,A_R,1 Pref Points,60,85,71.0%,71.0%,D,E,006,O1,A,O1A,1,"6,16,17,161,171",45902,45930,,No,No,NA
DE006O1A,A_NR,1 Pref Points,24,31,77.0%,77.0%,D,E,006,O1,A,O1A,1,"6,16,17,161,171",45902,45930,,No,No,NA
DE006O1A,Y_R,Choice 2,2,10,20.0%,NA,D,E,006,O1,A,O1A,0,"6,16,17,161,171",45902,45930,,No,No,NA
DE006O1A,Y_NR,None Drawn,NA,NA,NA,20.0%,D,E,006,O1,A,O1A,0,"6,16,17,161,171",45902,45930,,No,No,Yes
DE006O1A,L_U,Leftover Choice 1,3,9,33.0%,33.0%,D,E,006,O1,A,O1A,0,"6,16,17,161,171",45902,45930,,No,No,NA
DE006O1A,L_R,Leftover Choice 3,7,7,100.0%,100.0%,D,E,006,O1,A,O1A,0,"6,16,17,161,171",45902,45930,,No,No,NA
DE007O1A,A_R,0 Pref Points,744,751,99.0%,99.0%,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,NA
DE007O1A,A_NR,0 Pref Points,62,62,100.0%,100.0%,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,NA
DE007O1A,Y_R,Choice 3,1,12,8.0%,100.0%,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,NA
DE007O1A,Y_NR,0 Pref Points,1,1,100.0%,8.0%,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,NA
DE007O1A,L_U,Leftover Choice 3,1,1,100.0%,100.0%,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,NA
DE007O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,007,O1,A,O1A,0,"7,8,9,19,191",45902,45930,,No,No,Yes
DE011O1A,A_R,0 Pref Points,100,101,99.0%,99.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011O1A,A_NR,0 Pref Points,20,62,32.0%,32.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011O1A,Y_R,Choice 2,2,7,29.0%,50.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011O1A,Y_NR,Choice 2,1,2,50.0%,29.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011O1A,L_U,0 Pref Points,22,36,61.0%,61.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011O1A,L_R,Leftover Choice 1,7,23,30.0%,30.0%,D,E,011,O1,A,O1A,0,"11,13,22,131,211,231,12,23,24",45902,45930,,No,No,NA
DE011P2R,A_R,Leftover,NA,NA,100.0%,100.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P2R,A_NR,Leftover,NA,NA,100.0%,100.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P2R,Y_R,Leftover,NA,NA,100.0%,100.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P2R,Y_NR,Leftover,NA,NA,100.0%,100.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P2R,L_U,0 Pref Points,38,44,86.0%,86.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P2R,L_R,Leftover Choice 1,28,34,82.0%,82.0%,D,E,011,P2,R,P2R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,A_R,Leftover,NA,NA,100.0%,100.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,A_NR,Leftover,NA,NA,100.0%,100.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,Y_R,Leftover,NA,NA,100.0%,100.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,Y_NR,Leftover,NA,NA,100.0%,100.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,L_U,0 Pref Points,47,64,73.0%,73.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P3R,L_R,Leftover Choice 1,34,47,72.0%,72.0%,D,E,011,P3,R,P3R,0,"11, 12, 13, 22, 23, 24, 211",NA,NA,,No,Yes,NA
DE011P4R,A_R,0 Pref Points,9,13,69.0%,69.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011P4R,A_NR,0 Pref Points,10,25,40.0%,40.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011P4R,Y_R,Choice 3,1,1,100.0%,100.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011P4R,Y_NR,0 Pref Points,1,1,100.0%,100.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011P4R,L_U,0 Pref Points,5,14,36.0%,36.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011P4R,L_R,0 Pref Points,5,14,36.0%,36.0%,D,E,011,P4,R,P4R,0,"11, 211",NA,NA,,No,Yes,NA
DE011W1R,A_R,19 Pref Points,1,1,100.0%,100.0%,D,E,011,W1,R,W1R,19,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,NA
DE011W1R,A_NR,No Apps,NA,NA,NA,NA,D,E,011,W1,R,W1R,0,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,Yes
DE011W1R,Y_R,None Drawn,NA,NA,NA,NA,D,E,011,W1,R,W1R,0,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,Yes
DE011W1R,Y_NR,No Apps,NA,NA,NA,NA,D,E,011,W1,R,W1R,0,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,Yes
DE011W1R,L_U,N/A,NA,NA,NA,NA,D,E,011,W1,R,W1R,0,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,NA
DE011W1R,L_R,N/A,NA,NA,NA,NA,D,E,011,W1,R,W1R,0,"11, 211",NA,NA,Buffalo Horn Ranch,Yes,No,NA
DE011W2R,A_R,10 Pref Points,1,1,100.0%,100.0%,D,E,011,W2,R,W2R,10,"11, 13",NA,NA,,Yes,No,NA
DE011W2R,A_NR,No Apps,NA,NA,NA,NA,D,E,011,W2,R,W2R,0,"11, 13",NA,NA,,Yes,No,Yes
DE011W2R,Y_R,None Drawn,NA,NA,NA,NA,D,E,011,W2,R,W2R,0,"11, 13",NA,NA,,Yes,No,Yes
DE011W2R,Y_NR,No Apps,NA,NA,NA,NA,D,E,011,W2,R,W2R,0,"11, 13",NA,NA,,Yes,No,Yes
DE011W2R,L_U,N/A,NA,NA,NA,NA,D,E,011,W2,R,W2R,0,"11, 13",NA,NA,,Yes,No,NA
DE011W2R,L_R,N/A,NA,NA,NA,NA,D,E,011,W2,R,W2R,0,"11, 13",NA,NA,,Yes,No,NA
DE012O1A,A_R,0 Pref Points,5,74,7.0%,7.0%,D,E,012,O1,A,O1A,0,"12,23,24",45902,45930,,No,No,NA
DE012O1A,A_NR,1 Pref Points,6,12,50.0%,50.0%,D,E,012,O1,A,O1A,1,"12,23,24",45902,45930,,No,No,NA
DE012O1A,Y_R,Choice 2,1,2,50.0%,NA,D,E,012,O1,A,O1A,0,"12,23,24",45902,45930,,No,No,NA
DE012O1A,Y_NR,None Drawn,NA,NA,NA,50.0%,D,E,012,O1,A,O1A,0,"12,23,24",45902,45930,,No,No,Yes
DE012O1A,L_U,Leftover Choice 2,3,3,100.0%,100.0%,D,E,012,O1,A,O1A,0,"12,23,24",45902,45930,,No,No,NA
DE012O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,012,O1,A,O1A,0,"12,23,24",45902,45930,,No,No,Yes
DE012P4R,A_R,Choice 2,10,26,38.0%,38.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE012P4R,A_NR,Choice 2,5,13,38.0%,38.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE012P4R,Y_R,Choice 2,5,7,71.0%,100.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE012P4R,Y_NR,0 Pref Points,1,1,100.0%,71.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE012P4R,L_U,0 Pref Points,7,16,44.0%,44.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE012P4R,L_R,Choice 2,1,11,9.0%,9.0%,D,E,012,P4,R,P4R,0,"12, 13, 23, 24",NA,NA,,No,Yes,NA
DE015O1A,A_R,0 Pref Points,92,98,94.0%,94.0%,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,NA
DE015O1A,A_NR,0 Pref Points,15,16,94.0%,94.0%,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,NA
DE015O1A,Y_R,0 Pref Points,4,4,100.0%,67.0%,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,NA
DE015O1A,Y_NR,Choice 2,2,3,67.0%,100.0%,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,NA
DE015O1A,L_U,Leftover Choice 3,4,4,100.0%,100.0%,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,NA
DE015O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,015,O1,A,O1A,0,15,45902,45930,,No,No,Yes
DE015P2R,A_R,Choice 3,2,8,25.0%,25.0%,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,NA
DE015P2R,A_NR,0 Pref Points,4,4,100.0%,100.0%,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,NA
DE015P2R,Y_R,None Drawn,NA,NA,NA,100.0%,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,Yes
DE015P2R,Y_NR,0 Pref Points,1,1,100.0%,NA,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,NA
DE015P2R,L_U,Leftover Choice 1,1,4,25.0%,25.0%,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,NA
DE015P2R,L_R,Leftover Choice 1,3,4,75.0%,75.0%,D,E,015,P2,R,P2R,0,15,NA,NA,,No,Yes,NA
DE015P3R,A_R,0 Pref Points,6,8,75.0%,75.0%,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,NA
DE015P3R,A_NR,0 Pref Points,17,20,85.0%,85.0%,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,NA
DE015P3R,Y_R,No Apps,NA,NA,NA,100.0%,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,Yes
DE015P3R,Y_NR,0 Pref Points,1,1,100.0%,NA,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,NA
DE015P3R,L_U,Choice 2,1,4,25.0%,25.0%,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,NA
DE015P3R,L_R,Leftover Choice 2,2,2,100.0%,100.0%,D,E,015,P3,R,P3R,0,15,NA,NA,,No,Yes,NA
DE018O1A,A_R,0 Pref Points,131,202,65.0%,65.0%,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,NA
DE018O1A,A_NR,0 Pref Points,21,36,58.0%,58.0%,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,NA
DE018O1A,Y_R,Choice 2,6,12,50.0%,100.0%,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,NA
DE018O1A,Y_NR,0 Pref Points,1,1,100.0%,50.0%,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,NA
DE018O1A,L_U,Leftover Choice 3,2,2,100.0%,100.0%,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,NA
DE018O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,018,O1,A,O1A,0,"18,27,28,37,181,371",45902,45930,,No,No,Yes
DE018P2R,A_R,Choice 2,7,31,23.0%,23.0%,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P2R,A_NR,Choice 2,1,17,6.0%,6.0%,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P2R,Y_R,Choice 2,2,3,67.0%,NA,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P2R,Y_NR,None Drawn,NA,NA,NA,67.0%,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,Yes
DE018P2R,L_U,Choice 2,2,6,33.0%,33.0%,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P2R,L_R,Leftover Choice 1,4,6,67.0%,67.0%,D,E,018,P2,R,P2R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P3R,A_R,0 Pref Points,11,12,92.0%,92.0%,D,E,018,P3,R,P3R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P3R,A_NR,0 Pref Points,1,6,17.0%,17.0%,D,E,018,P3,R,P3R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P3R,Y_R,Choice 2,2,7,29.0%,NA,D,E,018,P3,R,P3R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P3R,Y_NR,No Apps,NA,NA,NA,29.0%,D,E,018,P3,R,P3R,0,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,Yes
DE018P3R,L_U,3 Pref Points,5,5,100.0%,100.0%,D,E,018,P3,R,P3R,3,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE018P3R,L_R,1 Pref Points,2,2,100.0%,100.0%,D,E,018,P3,R,P3R,1,"18, 28, 37,371, 27, 181",NA,NA,,No,Yes,NA
DE020O1A,A_R,Choice 2,72,216,33.0%,33.0%,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,NA
DE020O1A,A_NR,Choice 2,2,11,18.0%,18.0%,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,NA
DE020O1A,Y_R,Choice 2,3,8,38.0%,NA,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,NA
DE020O1A,Y_NR,None Drawn,NA,NA,NA,38.0%,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,Yes
DE020O1A,L_U,Leftover Choice 3,1,1,100.0%,100.0%,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,NA
DE020O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,020,O1,A,O1A,0,20,45902,45930,,No,No,Yes
DE023O1A,A_R,0 Pref Points,96,96,100.0%,100.0%,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,NA
DE023O1A,A_NR,0 Pref Points,16,39,41.0%,41.0%,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,NA
DE023O1A,Y_R,Choice 2,1,3,33.0%,100.0%,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,NA
DE023O1A,Y_NR,0 Pref Points,1,1,100.0%,33.0%,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,NA
DE023O1A,L_U,Leftover Choice 3,1,1,100.0%,100.0%,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,NA
DE023O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,023,O1,A,O1A,0,"23,24",45902,45930,,No,No,Yes
DE023W1R,A_R,29 Pref Points,1,1,100.0%,100.0%,D,E,023,W1,R,W1R,29,23,NA,NA,M/R White River Ranch,Yes,No,NA
DE023W1R,A_NR,No Apps,NA,NA,NA,NA,D,E,023,W1,R,W1R,0,23,NA,NA,M/R White River Ranch,Yes,No,Yes
DE023W1R,Y_R,None Drawn,NA,NA,NA,NA,D,E,023,W1,R,W1R,0,23,NA,NA,M/R White River Ranch,Yes,No,Yes
DE023W1R,Y_NR,No Apps,NA,NA,NA,NA,D,E,023,W1,R,W1R,0,23,NA,NA,M/R White River Ranch,Yes,No,Yes
DE023W1R,L_U,N/A,NA,NA,NA,NA,D,E,023,W1,R,W1R,0,23,NA,NA,M/R White River Ranch,Yes,No,NA
DE023W1R,L_R,N/A,NA,NA,NA,NA,D,E,023,W1,R,W1R,0,23,NA,NA,M/R White River Ranch,Yes,No,NA
DE025O1A,A_R,Leftover,NA,NA,100.0%,100.0%,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,NA
DE025O1A,A_NR,Leftover,NA,NA,100.0%,100.0%,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,NA
DE025O1A,Y_R,Leftover,NA,NA,100.0%,100.0%,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,NA
DE025O1A,Y_NR,Leftover,NA,NA,100.0%,100.0%,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,NA
DE025O1A,L_U,Leftover Choice 3,1,1,100.0%,100.0%,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,NA
DE025O1A,L_R,None Drawn,NA,NA,NA,NA,D,E,025,O1,A,O1A,0,"25,26",45902,45930,,No,No,Yes
DE025P2R,A_R,Leftover,NA,NA,100.0%,100.0%,D,E,025,P2,R,P2R,0,"25, 26",NA,NA,,No,Yes,NA
DE025P2R,A_NR,Leftover,NA,NA,100.0%,100.0%,D,E,025,P2,R,P2R,0,"25, 26",NA,NA,,No,Yes,NA
DE025P2R,Y_R,Leftover,NA,NA,100.0%,100.0%,D,E,025,P2,R,P2R,0,"25, 26",NA,NA,,No,Yes,NA
